email_id,label,category,email_text
P0940,1,phishing,Your employee benefits account requires verification. Sign in at https://www.account-security-alert.com/verify.
L0632,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
L0695,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P0682,1,phishing,Urgent: Your PayPal account has been suspended. Verify your account immediately at https://www.reward-center-online.com/verify.
P0913,1,phishing,Important document: Please review and sign the attached form using https://www.verify-login-now.net/verify.
L0803,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0849,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.reward-center-online.com/verify.
L1072,0,legitimate,"Hi Meera, here are the notes from yesterday's discussion. Please share any corrections."
P0305,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
L0181,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
P0241,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.billing-confirmation.net/verify.
L0788,0,legitimate,The maintenance team will inspect the office network on Tuesday. No action is required from you.
L0335,0,legitimate,The maintenance team will inspect the office network on Monday. No action is required from you.
P0684,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.reward-center-online.com/verify.
L0137,0,legitimate,Your library book is due on Tuesday. You can renew it through the library portal.
L0642,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0450,1,phishing,Urgent: Your company account has been suspended. Verify your account immediately at https://www.account-security-alert.com/verify.
P0149,1,phishing,You are eligible for an exclusive bonus. Click https://www.verify-login-now.net/verify to claim it before midnight.
P1062,1,phishing,You have won a $500 gift card. Claim your reward now by visiting https://www.verify-login-now.net/verify.
L0270,0,legitimate,"Hi everyone, today's training session will begin at 10:00 AM. The meeting link is in the calendar invitation."
L0895,0,legitimate,Your order has been shipped and is expected to arrive on Thursday. You can track it from your account dashboard.
L0236,0,legitimate,"Hi everyone, today's training session will begin at 10:00 AM. The meeting link is in the calendar invitation."
P0317,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
L0444,0,legitimate,"Hi everyone, today's training session will begin at 4:00 PM. The meeting link is in the calendar invitation."
P0116,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.account-security-alert.com/verify.
L0221,0,legitimate,"Hi Meera, could you please send the latest version of the report when convenient?"
P0750,1,phishing,Important document: Please review and sign the attached form using https://www.reward-center-online.com/verify.
P0075,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.reward-center-online.com/verify.
L0433,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
P0688,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.account-security-alert.com/verify.
L0883,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
L0424,0,legitimate,The maintenance team will inspect the office network on Wednesday. No action is required from you.
L0837,0,legitimate,"Hi Sanjay, could you please send the latest version of the report when convenient?"
L0377,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0110,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.verify-login-now.net/verify.
P0328,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.verify-login-now.net/verify.
P0873,1,phishing,You are eligible for an exclusive bonus. Click https://www.billing-confirmation.net/verify to claim it before midnight.
P1195,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.reward-center-online.com/verify.
P0510,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.billing-confirmation.net/verify.
P0104,1,phishing,You have won a shopping voucher. Claim your reward now by visiting https://www.verify-login-now.net/verify.
L0956,0,legitimate,The maintenance team will inspect the office network on Wednesday. No action is required from you.
P0813,1,phishing,Security alert: We detected unusual activity on your PayPal account. Confirm your identity using https://www.billing-confirmation.net/verify.
P0113,1,phishing,Your employee benefits account requires verification. Sign in at https://www.reward-center-online.com/verify.
L0789,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
L0391,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0897,0,legitimate,The maintenance team will inspect the office network on Wednesday. No action is required from you.
